AccountNumber,AppUser_Id,Name,AccountType,Balance,InitialDeposit
1000000000,Dixon@aool.com,Shan's Stock,Stock, $-   ,50
1000000001,willsheff@email.com,William's Savings,Savings," $40,035.50 ",50
1000000002,smartinmartin.Martin@aool.com,Gregory's Checking,Checking," $39,779.49 ",50
1000000003,avelasco@yaho.com,Allen's Checking,Checking," $47,277.33 ",50
1000000004,rwood@voyager.net,Reagan's Checking,Checking," $70,812.15 ",50
1000000005,nelson.Kelly@aool.com,Kelly's Savings,Savings," $21,901.97 ",50
1000000006,erynrice@aool.com,Eryn's Checking,Checking," $70,480.99 ",50
1000000007,westj@pioneer.net,Jake's Savings,Savings," $7,916.40 ",50
1000000008,mb@aool.com,Michelle's Stock,Stock, $-   ,50
1000000009,jeff@ggmail.com,Jeffrey's Savings,Savings," $69,576.83 ",50
1000000010,nelson.Kelly@aool.com,Kelly's Stock,Stock, $-   ,50
1000000011,erynrice@aool.com,Eryn's Checking 2,Checking," $30,279.33 ",50
1000000012,mackcloud@pimpdaddy.com,Jennifer's IRA,IRA," $53,177.21 ",50
1000000013,ss34@ggmail.com,Sarah's Savings,Savings," $11,958.08 ",50
1000000014,tanner@ggmail.com,Jeremy's Savings,Savings," $72,990.47 ",50
1000000015,liz@ggmail.com,Elizabeth's Savings,Savings," $7,417.20 ",50
1000000016,ra@aoo.com,Allen's IRA,IRA," $75,866.69 ",50
1000000017,johnsmith187@aool.com,John's Stock,Stock, $-   ,50
1000000018,mclarence@aool.com,Clarence's Savings,Savings," $1,642.82 ",50
1000000019,ss34@ggmail.com,Sarah's Checking,Checking," $84,421.45 ",50
